		2021-06-21	2021-07-15	2021-08-09	2021-09-08	2021-09-26	2021-10-21	2021-11-08	2021-11-24	2021-12-16	2022-01-20	2022-02-03	2022-02-14	2022-03-18	2022-04-06	2022-05-18	2022-06-15	2022-07-15	2022-08-02	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-13	2023-02-16	2023-03-14	2023-04-17	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-07	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-03-18	2024-04-19
cot mattress rental		-	-	-	-	-	-	4	4	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	5	3	3	3	3	1	3
kids bunk bed rental		-	-	-	-	-	-	9	7	7	5	5	1	4	5	4	4	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
triple bunk bed rental		-	-	-	-	-	-	5	7	6	4	1	1	2	4	4	4	2	3	3	1	1	3	4	1	1	1	2	2	1	2	2	1	2	1	1	1	1
single bed rental		-	-	-	-	-	-	15	10	15	3	3	3	4	2	2	2	2	2	2	3	4	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
single mattress rental		-	-	-	-	-	-	21	14	12	5	4	4	4	3	2	2	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
double bed rental		-	-	-	-	-	-	9	7	8	5	4	3	4	3	3	2	4	2	2	3	3	3	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1
double mattress rental		-	-	-	-	-	-	9	9	9	-	7	5	5	3	4	3	4	3	3	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
queen bed rental		-	-	-	-	-	-	-	-	-	3	3	4	4	4	4	3	4	4	4	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
queen mattress rental		-	-	-	-	-	-	17	12	12	4	5	4	3	3	3	3	3	3	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
king bed rental		-	-	-	-	-	-	19	17	16	3	4	4	3	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
king plush mattress rental		-	-	-	-	-	-	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1
