		2022-06-24	2022-07-15	2022-08-18	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-13	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2023-12-27	2024-01-19	2024-02-15	2024-03-13	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
accountants rockford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29	42	56	45	57	56	59	16	14	12	17	23	55	55	62
accountants denver		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54	61	72	92	-	-	90	-	88	97	-	-	-	-	-
accountants colorado springs		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34	33	51	54	54	53	60	77	73	53	70	77	-	-	90
accountants fort collins		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34	41	46	49	56	65	71	66	65	58	78	85	94	-	-
accountants arizona		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45	45	83	92	90	-	-	-	-	-	-	-	-	-	-
accountants phoenix		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	61	77	74	77	73	75	70	89	-	-	83	96	75	-
accountants tucson		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39	37	63	54	64	60	59	70	65	62	70	71	-	91	81
accountants mesa		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	20	19	26	-	66	74	81	75	79	79	71	100	-
accountants gilbert		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55	48	50	30	49	21	23	62	62	68	66	65	77	49	-
accountants glendale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	45	69	63	61	62	53	70	35	28	32	32	39	69	97
accountants scottsdale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	42	38	54	45	52	57	54	55	62	50	60	61	61	91	88
accountants connecticut		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	93	22	42	47	33	64	49	-	-	-	-	-	-	-	-
accountants stamford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23	29	28	26	26	25	34	27	65	34	31	34	33	58
accountants new haven		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	17	20	19	19	18	31	17	22	17	20	24	42	46	25
accountants hartford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	23	47	65	56	35	84	81	79	-	74	42	57	58	68
accountants georgia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	59	-	-	-	88	-	-	-	86	-	-	-	-	-
accountants atlanta		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	85	98	80	97	-	-	-	-	-	-	-	-	-	-
accountants columbus		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	65	81	-	-	-	-	-	-	-	-	-	-	-	-	-
accountants augusta		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	21	25	19	26	29	63	31	57	49	29	69	49	66	67
accountants savannah		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	24	29	33	34	35	32	32	37	37	47	53	51	-	-
accountants michigan		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	62	97	93	94	91	-	-	-	-	-	-	-	-	-
accountants detroit		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	18	42	40	41	-	39	50	42	-	89	23	52	-	-
accountants grand rapids		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39	46	41	51	46	52	56	55	65	61	87	56	66	-	-
accountants ann arbor		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39	19	26	21	25	24	42	32	46	32	28	32	36	47	51
accountants pennsylvania		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	83	45	-	82	-	84	-	-	-	-	-	-	-	-
accountants philadelphia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54	29	55	56	58	65	69	65	63	-	-	53	73	93	-
accountants pittsburgh		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	63	48	49	61	66	62	61	60	57	55	46	53	59	74	53
accountants allentown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	26	28	24	29	32	33	32	31	29	36	46	46	83	89
accountants erie		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45	25	27	56	57	31	57	29	59	91	68	65	54	67	65
bookkeepers new york city		-	-	-	-	-	-	-	-	-	-	-	-	-	31	69	76	40	31	49	39	53	55	32	24	24	27	34	28	45	40	40
bookkeepers buffalo		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	20	17	16	12	18	9	14	18	22	20	24	25	26
bookkeepers rochester		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	79	25	27	28	25	28	21	30	35	53	61	56	47	33	42
bookkeepers yonkers		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	7	6	6	6	6	8	19	6	3	1	1	3	5	5
bookkeepers brooklyn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	9	9	9	8	15	17	13	15	24	19	21	24	24	23
bookkeepers jacksonville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57	17	18	16	21	20	15	16	15	19	18	20	24	22	21
bookkeepers miami		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	25	29	25	26	23	50	-	24	27	31	31	31	33	32
bookkeepers tampa		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	48	23	18	18	20	24	24	26	28	40	28	28	30	33	35
bookkeepers orlando		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	14	17	18	21	24	23	19	21	74	25	27	29	39	35
bookkeepers st petersburg		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	22	28	26	32	25	34	28	25	17	24	21	23	29	25
bookkeepers hialeah		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	38	4	5	5	6	9	8	5	5	5	6	8	13	9	15
bookkeepers los angeles		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23	23	25	-	-	-	-	30	33	19	81	17	22	37	38
bookkeepers san diego		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34	35	37	36	34	42	57	72	73	72	75	88	-	94
bookkeepers san jose		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54	16	21	18	22	25	-	26	30	30	28	27	30	72	56
bookkeepers san fransisco		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51	-	23	16	28	63	-	-
bookkeepers fresno		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	15	19	19	19	23	19	27	29	25	26	20	24	26	20
bookkeepers sacramento		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	48	16	20	20	20	19	29	19	19	81	27	26	27	24	28
bookkeepers long beach		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	14	18	17	18	16	17	19	24	18	24	19	21	27	26
bookkeepers oakland		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47	18	16	15	16	13	25	23	33	28	20	22	26	30	19
bookkeepers bakersfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	15	19	14	17	21	20	23	24	23	18	17	24	23	23
bookkeepers boston		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31	21	20	19	18	35	21	21	20	29	27	24	30	37	40
bookkeepers worcester		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	9	10	10	10	10	23	28	29	10	12	16	26	37	18
bookkeepers springfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	37	-	27	27	64	36	49	5	3	3	77	44	36	19	49
bookkeepers cambridge		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	20	16	23	29	19	33	3	38	28	40	20	16	62	8
bookkeepers lowell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	9	11	6	11	13	18	27	18	11	15	13	15	19	19
bookkeepers newark		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	3	7	8	7	6	5	18	6	12	10	10	16	9	10
bookkeepers jersey city		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	10	9	8	9	13	14	13	11	10	9	11	19	18	19
bookkeepers paterson		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	5	4	4	5	5	8	5	6	3	2	6	6	2	5
bookkeepers elizabeth		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	13	14	13	21	18	13	17	21	15	15	15	24	28	28
bookkeepers illinois		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	14	12	14	16	17	20	15	15	12	15	13	20	18	16
bookkeepers joliet		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28	5	6	8	6	8	6	6	8	3	3	8	8	8	14
bookkeepers naperville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	8	5	5	6	6	6	6	6	5	7	9	13	24	24
bookkeepers rockford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	8	14	9	15	12	13	12	12	11	11	15	23	18	20
bookkeepers denver		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	33	38	41	43	44	46	47	47	45	49	46	42	71	42
bookkeepers colorado springs		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	12	21	23	23	23	18	30	27	28	37	34	35	34	34
bookkeepers fort collins		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	9	16	15	17	20	19	72	29	28	23	29	31	36	35
bookkeepers arizona		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	14	14	11	14	16	17	17	20	21	26	26	29	24	31
bookkeepers phoenix		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	21	27	28	35	30	27	31	32	37	34	33	37	34	39
bookkeepers tucson		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	17	19	19	24	24	24	22	25	15	-	22	28	30	37
bookkeepers mesa		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	58	9	15	28	30	14	8	15	14	11	13	18	20	20	14
bookkeepers gilbert		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	11	16	17	13	14	14	16	16	9	13	14	18	10	6
bookkeepers glendale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	23	21	20	21	20	16	36	25	16	5	6	10	10	6
bookkeepers scottsdale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40	15	16	16	12	21	17	17	18	21	19	20	17	22	24
bookkeepers connecticut		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	12	21	19	20	23	13	12	15	19	19	21	26	26	26
bookkeepers stamford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	5	5	6	5	11	2	7	8	7	6	10	11	15	22
bookkeepers new haven		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	7	8	7	5	10	8	3	5	8	16	3	6	7	8
bookkeepers hartford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	13	13	11	16	18	21	35	18	26	25	24	22	24	24
